성별,연령,시도코드,거주시도,총 발매 수
1,20대,11,서울,1909600
1,20대,26,부산,584400
1,20대,27,대구,701500
1,20대,28,인천,318200
1,20대,29,광주,187600
1,20대,30,대전,691200
1,20대,31,울산,329900
1,20대,36,세종,155400
1,20대,41,경기,2051900
1,20대,42,강원,324900
1,20대,43,충북,329500
1,20대,44,충남,685700
1,20대,45,전북,378700
1,20대,46,전남,299800
1,20대,47,경북,998900
1,20대,48,경남,480100
1,20대,50,제주,33100
1,30대,11,서울,2818300
1,30대,26,부산,575900
1,30대,27,대구,527100
1,30대,28,인천,345000
1,30대,29,광주,199200
1,30대,30,대전,574300
1,30대,31,울산,244100
1,30대,36,세종,300100
1,30대,41,경기,2291900
1,30대,42,강원,257100
1,30대,43,충북,221600
1,30대,44,충남,505800
1,30대,45,전북,229500
1,30대,46,전남,208200
1,30대,47,경북,485400
1,30대,48,경남,368200
1,30대,50,제주,22800
1,40대,11,서울,2634900
1,40대,26,부산,618000
1,40대,27,대구,585500
1,40대,28,인천,415100
1,40대,29,광주,256500
1,40대,30,대전,637000
1,40대,31,울산,243900
1,40대,36,세종,395100
1,40대,41,경기,2528500
1,40대,42,강원,278000
1,40대,43,충북,220000
1,40대,44,충남,485900
1,40대,45,전북,249400
1,40대,46,전남,230600
1,40대,47,경북,484600
1,40대,48,경남,392800
1,40대,50,제주,24200
1,50대,11,서울,2085800
1,50대,26,부산,507400
1,50대,27,대구,508200
1,50대,28,인천,275600
1,50대,29,광주,208800
1,50대,30,대전,560600
1,50대,31,울산,224100
1,50대,36,세종,233200
1,50대,41,경기,1929000
1,50대,42,강원,229300
1,50대,43,충북,166700
1,50대,44,충남,390100
1,50대,45,전북,215900
1,50대,46,전남,220900
1,50대,47,경북,430600
1,50대,48,경남,316200
1,50대,50,제주,19800
1,60대이상,11,서울,1166000
1,60대이상,26,부산,331200
1,60대이상,27,대구,294000
1,60대이상,28,인천,116900
1,60대이상,29,광주,99100
1,60대이상,30,대전,350100
1,60대이상,31,울산,104300
1,60대이상,36,세종,89700
1,60대이상,41,경기,877600
1,60대이상,42,강원,197600
1,60대이상,43,충북,115600
1,60대이상,44,충남,264900
1,60대이상,45,전북,142000
1,60대이상,46,전남,147500
1,60대이상,47,경북,304800
1,60대이상,48,경남,196900
1,60대이상,50,제주,9100
1,기타,11,서울,185300
1,기타,26,부산,49800
1,기타,27,대구,39900
1,기타,28,인천,28600
1,기타,29,광주,22700
1,기타,30,대전,34200
1,기타,31,울산,25400
1,기타,36,세종,13600
1,기타,41,경기,182100
1,기타,42,강원,24100
1,기타,43,충북,20500
1,기타,44,충남,50200
1,기타,45,전북,22600
1,기타,46,전남,23800
1,기타,47,경북,57800
1,기타,48,경남,36100
1,기타,50,제주,4200
2,20대,11,서울,3026200
2,20대,26,부산,827400
2,20대,27,대구,1092800
2,20대,28,인천,435200
2,20대,29,광주,251900
2,20대,30,대전,1018900
2,20대,31,울산,454300
2,20대,36,세종,240400
2,20대,41,경기,2901700
2,20대,42,강원,454800
2,20대,43,충북,458300
2,20대,44,충남,997900
2,20대,45,전북,535400
2,20대,46,전남,372200
2,20대,47,경북,1399700
2,20대,48,경남,613100
2,20대,50,제주,36600
2,30대,11,서울,2953600
2,30대,26,부산,640900
2,30대,27,대구,624300
2,30대,28,인천,343200
2,30대,29,광주,225500
2,30대,30,대전,633000
2,30대,31,울산,279200
2,30대,36,세종,295000
2,30대,41,경기,2452300
2,30대,42,강원,353400
2,30대,43,충북,279300
2,30대,44,충남,678900
2,30대,45,전북,310200
2,30대,46,전남,250200
2,30대,47,경북,698000
2,30대,48,경남,440500
2,30대,50,제주,25900
2,40대,11,서울,1898800
2,40대,26,부산,513200
2,40대,27,대구,499500
2,40대,28,인천,248200
2,40대,29,광주,193600
2,40대,30,대전,495500
2,40대,31,울산,245900
2,40대,36,세종,245500
2,40대,41,경기,1773400
2,40대,42,강원,329800
2,40대,43,충북,205100
2,40대,44,충남,493100
2,40대,45,전북,249100
2,40대,46,전남,232100
2,40대,47,경북,576300
2,40대,48,경남,358700
2,40대,50,제주,19300
2,50대,11,서울,1100300
2,50대,26,부산,346600
2,50대,27,대구,327700
2,50대,28,인천,132300
2,50대,29,광주,116500
2,50대,30,대전,309200
2,50대,31,울산,150200
2,50대,36,세종,109000
2,50대,41,경기,956900
2,50대,42,강원,208400
2,50대,43,충북,113900
2,50대,44,충남,289300
2,50대,45,전북,156200
2,50대,46,전남,146400
2,50대,47,경북,374600
2,50대,48,경남,219700
2,50대,50,제주,10300
2,60대이상,11,서울,433600
2,60대이상,26,부산,189400
2,60대이상,27,대구,147400
2,60대이상,28,인천,44400
2,60대이상,29,광주,44000
2,60대이상,30,대전,142500
2,60대이상,31,울산,44300
2,60대이상,36,세종,39700
2,60대이상,41,경기,326600
2,60대이상,42,강원,111100
2,60대이상,43,충북,57500
2,60대이상,44,충남,125300
2,60대이상,45,전북,70600
2,60대이상,46,전남,62200
2,60대이상,47,경북,169800
2,60대이상,48,경남,100600
2,60대이상,50,제주,3200
2,기타,11,서울,193500
2,기타,26,부산,57700
2,기타,27,대구,54800
2,기타,28,인천,23800
2,기타,29,광주,22700
2,기타,30,대전,39900
2,기타,31,울산,27400
2,기타,36,세종,13600
2,기타,41,경기,177000
2,기타,42,강원,23700
2,기타,43,충북,19300
2,기타,44,충남,57500
2,기타,45,전북,27800
2,기타,46,전남,25200
2,기타,47,경북,73000
2,기타,48,경남,38200
2,기타,50,제주,4700
